NPZ	AI	x	y	Supply
NPZ_1	95	59.25027628	59.871183056	40000
NPZ_1	92	59.25027628	59.871183056	40000
NPZ_1	80	59.25027628	59.871183056	32000
NPZ_2	95	84.739320469	14.179335535	24000
NPZ_2	92	84.739320469	14.179335536	48000
NPZ_2	80	84.739320469	14.179335537	28000
NPZ_3	95	42.39793676	42.474529846	24000
NPZ_3	92	42.39793677	42.474529847	44000
NPZ_3	80	42.39793678	42.474529848	20000
NPZ_4	95	19.539202494	13.714643125	28000
NPZ_4	92	19.539202495	13.714643126	64000
NPZ_4	80	19.539202496	13.714643127	24000
NPZ_5	95	41.280668974	37.86099297	20000
NPZ_5	92	41.280668975	37.86099298	48000
NPZ_5	80	41.280668976	37.86099299	28000
NPZ_6	95	37.159066228	41.353602288	32000
NPZ_6	92	37.159066229	41.353602289	52000
NPZ_6	80	37.159066230	41.353602290	20000
NPZ_7	95	96.890453296	64.420010173	36000
NPZ_7	92	96.890453297	64.420010174	32000
NPZ_7	80	96.890453298	64.420010175	20000
NPZ_8	95	86.267498974	81.662811339	48000
NPZ_8	92	86.267498975	81.662811340	36000
NPZ_8	80	86.267498976	81.662811341	28000
