Station	AI	x	y	Demand
STAT_1	95	13.490868919	73.269974091	18400
STAT_1	92	13.490868919	73.269974091	44000
STAT_1	80	13.490868919	73.269974091	12000
STAT_2	95	85.435435432	66.637250246	28000
STAT_2	92	85.435435433	66.637250247	24000
STAT_2	80	85.435435434	66.637250248	20000
STAT_3	95	28.57829656	8.9973802678	16000
STAT_3	92	28.57829657	8.9973802678	28000
STAT_3	80	28.57829658	8.9973802678	10000
STAT_4	95	31.324144639	91.839906946	5600
STAT_4	92	31.324144640	91.839906947	26000
STAT_4	80	31.324144641	91.839906948	14000
STAT_5	95	40.338574676	15.487027983	20000
STAT_5	92	40.338574677	15.487027984	18000
STAT_5	80	40.338574678	15.487027985	6000
STAT_6	95	41.642450914	42.121572304	12800
STAT_6	92	41.642450915	42.121572305	30000
STAT_6	80	41.642450916	42.121572306	24000
STAT_7	95	53.983691614	20.950457198	24000
STAT_7	92	53.983691615	20.950457199	10000
STAT_7	80	53.983691616	20.950457200	28000
STAT_8	95	75.761894835	87.067552493	6000
STAT_8	92	75.761894836	87.067552494	36000
STAT_8	80	75.761894837	87.067552495	16000
STAT_9	95	81.836738903	36.799646914	18000
STAT_9	92	81.836738904	36.799646915	32000
STAT_9	80	81.836738905	36.799646916	12000
STAT_10	95	54.260517494	25.920107984	24000
STAT_10	92	54.260517495	25.920107985	36000
STAT_10	80	54.260517496	25.920107986	6000
STAT_11	95	67.91810533	68.10860082	26000
STAT_11	92	67.91810534	68.10860083	12000
STAT_11	80	67.91810535	68.10860084	4000
STAT_12	95	92.200710019	10.898110433	28000
STAT_12	92	92.200710020	10.898110434	40000
STAT_12	80	92.200710021	10.898110435	22000
STAT_13	95	19.966539345	39.046270982	25200
STAT_13	92	19.966539346	39.046270983	28000
STAT_13	80	19.966539347	39.046270984	26000
